"","SALE_DATE","CH_DATE","CMP_CD","SEQ","NO1","NO2","MEJANG","LARGE","MID","SMALL","CMP_GOOD","PUM_NAME","GOOD_NAME","MM_CD","DANQ","DAN_CD","POJ_CD","SIZE_CD","LV_CD","SAN_CD","CMP_SAN","SAN_NAME","QTY","COST","AMER_CD","CH_CD","SMAN_CD","CHUL_NO","CHUL_CD","CHUL_NAME","FARM_NAME","NAK_TIME","TOT_QTY","TOT_AMT","IN_TIME","GUBN","NONE"
"1","2016-01-04","2016-01-04",4108212335,"32",10,10,1,20,26,"ZZ",11001026652,"장미(스탠다드)","도미니카",1,1,12,101,110,11,500801,500801,"광주 북구",30,11750,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,30,352500,"2018/01/09 오후 4:30:47",5,NA
"2","2016-01-04","2016-01-04",4108212335,"32",20,20,1,20,26,"ZZ",11001026652,"장미(스탠다드)","도미니카",1,1,12,101,110,11,500801,500801,"광주 북구",30,11750,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,30,352500,"2018/01/09 오후 4:30:47",5,NA
"3","2016-01-04","2016-01-04",4108212335,"32",30,30,1,20,26,"ZZ",11001026652,"장미(스탠다드)","도미니카",1,1,12,101,110,12,500801,500801,"광주 북구",22,10500,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,22,231000,"2018/01/09 오후 4:30:47",5,NA
"4","2016-01-04","2016-01-04",4108212335,"32",40,40,1,20,26,"ZZ",11001026652,"장미(스탠다드)","도미니카",1,1,12,101,110,12,500801,500801,"광주 북구",30,10660,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,30,319800,"2018/01/09 오후 4:30:47",5,NA
"5","2016-01-04","2016-01-04",4108212335,"32",50,50,1,20,26,"ZZ",11001026652,"장미(스탠다드)","도미니카",1,1,12,101,110,13,500801,500801,"광주 북구",22,8690,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,22,191180,"2018/01/09 오후 4:30:47",5,NA
"6","2016-01-04","2016-01-04",4108212335,"32",60,60,1,20,26,"ZZ",11001026652,"장미(스탠다드)","도미니카",1,1,12,101,110,13,500801,500801,"광주 북구",30,8690,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,30,260700,"2018/01/09 오후 4:30:47",5,NA
"7","2016-01-04","2016-01-04",4108212335,"32",70,70,1,20,26,"ZZ",11001026705,"장미(스탠다드)","스위트돌로미티",1,1,12,101,110,12,500801,500801,"광주 북구",7,7000,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,7,49000,"2018/01/09 오후 4:30:47",5,NA
"8","2016-01-04","2016-01-04",4108212335,"32",80,80,1,20,26,"ZZ",11001026734,"장미(스탠다드)","돌로미티",1,1,12,101,110,12,500801,500801,"광주 북구",2,5200,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,2,10400,"2018/01/09 오후 4:30:47",5,NA
"9","2016-01-04","2016-01-04",4108212335,"32",90,90,1,20,26,"ZZ",11001026393,"장미(스탠다드)","키위",1,1,12,101,110,12,500801,500801,"광주 북구",7,5120,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,7,35840,"2018/01/09 오후 4:30:47",5,NA
"10","2016-01-04","2016-01-04",4108212335,"32",100,100,1,20,26,"ZZ",11001026142,"장미(스탠다드)","카버넷",1,1,12,101,110,12,500801,500801,"광주 북구",46,11550,"",3,NA,"","8808990081588","광주원예농협풍암지점(공판)",NA,NA,46,531300,"2018/01/09 오후 4:30:47",5,NA
